id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
thorchain,90,RUNE,THORChain,351656120.0000000000000000,,455202673.2978354270245120,85706482.9815124607721544,1.2944540060836576,0.8633931806721655,1.2717307822838448,https://explorer.binance.org/asset/RUNE-B1A
compound,91,COMP,Compound,8869690.9589592100000000,,436791868.2023788401371039,107745312.0706342095174629,49.2454438630895665,-2.5938808177040612,49.1200315641449221,https://etherscan.io/token/0xc00e94cb662c3520282e6f5717214004a7f26888
mina,92,MINA,Mina,1213055544.8400393000000000,,414302232.1552258519474443,11051070.0869037073676725,0.3415360771545364,0.9654508239827619,0.3341599460869304,https://minaexplorer.com/
pancakeswap,93,CAKE,PancakeSwap,290570256.0918944500000000,450000000.0000000000000000,412627285.4904449561821384,15373591.7809166345443995,1.4200603015607671,-0.2859045839991229,1.3922633302804888,https://bscscan.com/token/0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82
vethor-token,94,VTHO,VeThor Token,85952152110.0000000000000000,,408224615.9818505739703830,25508928.4061663393307183,0.0047494403102253,-5.1743394658025687,0.0044844649333990,https://explore.veforge.com
nxm,95,NXM,NXM,6594067.8412913900000000,,383233944.7735620612775242,4599666.5538546275999753,58.1179863473332229,-1.9037252203762901,58.2790545331707426,https://etherscan.io/token/0xd7c49cee7e9188cca6ad8ff264c1da2e69d4cf3b
1inch,96,1INCH,1inch Network,1399116227.6147344000000000,,358738701.8944057489340941,13633576.6642391652027536,0.2564037889160909,-1.2865922127653740,0.2542292748946188,https://etherscan.io/token/0x111111111117dc0aa78b770fa6a738034120c302
trust-wallet-token,97,TWT,Trust Wallet Token,416649900.0000000000000000,,352911917.2199786426835900,2314858.9213650278589238,0.8470226855208141,-1.5488980645561626,0.8471424840706465,https://explorer.binance.org/asset/TWT-8C2
superfarm,98,SUPER,SuperVerse,487976093.4169172600000000,1000000000.0000000000000000,330958547.2549415411630760,5041916.3638877094986118,0.6782269699679263,-0.9739858567189724,0.6641183941304240,https://etherscan.io/token/0xe53ec727dbdeb9e2d5456c3be40cff031ab40a55
just,99,JST,JUST,9900000000.0000000000000000,,321776717.9557253400000000,21135629.8337237246287861,0.0325026987834066,-2.9901010017383504,0.0327210173050325,https://tronscan.org/#/token20/TCFLL5dx5ZJdKnWuesXxi1VPwjLVmWZZy9
